Date,Description,Transaction Type,Amount,Category,Payment Method,Merchant,Balance
2024-01-01,Starting Balance,Credit,1000.00,Opening Balance,Account Transfer,Bank,1000.00
2024-01-01,Salary Payment,Credit,2500.00,Income,Direct Deposit,Employer Inc.,3500.00
2024-01-01,Rent Payment,Debit,-1500.00,Rent,ACH Transfer,Sunset Apartments,2000.00
2024-01-01,Grocery Shopping,Debit,-120.50,Groceries,Debit Card,Whole Foods,1879.50
2024-01-01,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,1874.75
2024-01-02,Online Subscription,Debit,-12.99,Entertainment,Online Payment,Netflix,1861.76
2024-01-02,Electric Bill,Debit,-95.00,Utilities,ACH Transfer,Electric Company,1766.76
2024-01-02,Lunch,Debit,-15.25,Dining Out,Debit Card,Subway,1751.51
2024-01-03,Gasoline,Debit,-36.40,Transportation,Debit Card,Shell Gas Station,1715.11
2024-01-03,Grocery Shopping,Debit,-89.30,Groceries,Debit Card,Trader Joe's,1625.81
2024-01-03,Book Purchase,Debit,-22.00,Education,Credit Card,Amazon,1603.81
2024-01-04,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,1599.06
2024-01-04,Streaming Service,Debit,-9.99,Entertainment,Online Payment,Spotify,1589.07
2024-01-04,Lunch,Debit,-12.50,Dining Out,Debit Card,Panera Bread,1576.57
2024-01-05,Gym Membership,Debit,-45.00,Health,Online Payment,Planet Fitness,1531.57
2024-01-05,Dinner,Debit,-65.00,Dining Out,Credit Card,Olive Garden,1466.57
2024-01-05,Movie Tickets,Debit,-24.00,Entertainment,Debit Card,AMC Theaters,1442.57
2024-01-06,Medical Co-pay,Debit,-30.00,Medical,Debit Card,City Clinic,1412.57
2024-01-06,Pet Supplies,Debit,-40.00,Pets,Credit Card,PetSmart,1372.57
2024-01-06,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,1367.82
2024-01-07,Grocery Shopping,Debit,-132.80,Groceries,Debit Card,Walmart,1235.02
2024-01-07,Gasoline,Debit,-37.60,Transportation,Debit Card,Exxon,1197.42
2024-01-07,Lunch,Debit,-13.75,Dining Out,Debit Card,Chick-fil-A,1183.67
2024-01-08,Phone Bill,Debit,-65.00,Utilities,ACH Transfer,Verizon,1118.67
2024-01-08,Clothing Purchase,Debit,-85.00,Shopping,Credit Card,H&M,1033.67
2024-01-08,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,1028.92
2024-01-09,Online Course,Debit,-199.99,Education,Credit Card,Udemy,828.93
2024-01-09,Lunch,Debit,-14.50,Dining Out,Debit Card,Jimmy John's,814.43
2024-01-09,Streaming Service,Debit,-14.99,Entertainment,Online Payment,Hulu,799.44
2024-01-10,Salary Payment,Credit,2500.00,Income,Direct Deposit,Employer Inc.,3299.44
2024-01-10,Car Insurance,Debit,-150.00,Insurance,ACH Transfer,Geico,3149.44
2024-01-10,Gasoline,Debit,-38.20,Transportation,Debit Card,BP Gas Station,3111.24
2024-01-11,Grocery Shopping,Debit,-140.60,Groceries,Debit Card,Kroger,2970.64
2024-01-11,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,2965.89
2024-01-11,Dinner,Debit,-58.00,Dining Out,Credit Card,Red Lobster,2907.89
2024-01-12,Pet Grooming,Debit,-50.00,Pets,Debit Card,Petco,2857.89
2024-01-12,Lunch,Debit,-16.00,Dining Out,Debit Card,Panera Bread,2841.89
2024-01-12,Gasoline,Debit,-36.80,Transportation,Debit Card,Shell Gas Station,2805.09
2024-01-13,Online Shopping,Debit,-75.00,Shopping,Credit Card,Amazon,2730.09
2024-01-13,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,2725.34
2024-01-13,Book Purchase,Debit,-18.50,Education,Credit Card,Barnes & Noble,2706.84
2024-01-14,Electric Bill,Debit,-95.00,Utilities,ACH Transfer,Electric Company,2611.84
2024-01-14,Lunch,Debit,-15.75,Dining Out,Debit Card,Chipotle,2596.09
2024-01-14,Movie Rental,Debit,-5.99,Entertainment,Online Payment,Amazon Prime Video,2590.10
2024-01-15,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,2585.35
2024-01-15,Grocery Shopping,Debit,-128.40,Groceries,Debit Card,Aldi,2456.95
2024-01-15,Gasoline,Debit,-37.20,Transportation,Debit Card,Exxon,2419.75
2024-01-16,Dinner,Debit,-62.00,Dining Out,Credit Card,Cheesecake Factory,2357.75
2024-01-16,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,2353.00
2024-01-16,Pharmacy Purchase,Debit,-28.00,Medical,Debit Card,CVS Pharmacy,2325.00
2024-01-17,Gym Membership,Debit,-45.00,Health,Online Payment,Planet Fitness,2280.00
2024-01-17,Lunch,Debit,-14.25,Dining Out,Debit Card,Subway,2265.75
2024-01-17,Streaming Service,Debit,-9.99,Entertainment,Online Payment,Disney+,2255.76
2024-01-18,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,2251.01
2024-01-18,Gasoline,Debit,-35.90,Transportation,Debit Card,Shell Gas Station,2215.11
2024-01-18,Book Purchase,Debit,-20.00,Education,Credit Card,Amazon,2195.11
2024-01-19,Water Bill,Debit,-50.00,Utilities,ACH Transfer,Water Company,2145.11
2024-01-19,Lunch,Debit,-13.50,Dining Out,Debit Card,Panera Bread,2131.61
2024-01-19,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,2126.86
2024-01-20,Online Subscription,Debit,-12.99,Entertainment,Online Payment,Apple Music,2113.87
2024-01-20,Grocery Shopping,Debit,-135.70,Groceries,Debit Card,Trader Joe's,1978.17
2024-01-20,Dinner,Debit,-60.00,Dining Out,Credit Card,Applebee's,1918.17
2024-01-21,Gasoline,Debit,-38.00,Transportation,Debit Card,BP Gas Station,1880.17
2024-01-21,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,1875.42
2024-01-21,Movie Tickets,Debit,-26.00,Entertainment,Debit Card,Regal Cinemas,1849.42
2024-01-22,Lunch,Debit,-15.00,Dining Out,Debit Card,Five Guys,1834.42
2024-01-22,Clothing Purchase,Debit,-88.00,Shopping,Credit Card,Zara,1746.42
2024-01-22,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,1741.67
2024-01-23,Pet Supplies,Debit,-42.00,Pets,Credit Card,PetSmart,1699.67
2024-01-23,Lunch,Debit,-14.75,Dining Out,Debit Card,Jimmy John's,1684.92
2024-01-23,Streaming Service,Debit,-8.99,Entertainment,Online Payment,Peacock,1675.93
2024-01-24,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,1671.18
2024-01-24,Gasoline,Debit,-36.50,Transportation,Debit Card,Exxon,1634.68
2024-01-24,Lunch,Debit,-15.50,Dining Out,Debit Card,Chipotle,1619.18
2024-01-25,Salary Payment,Credit,2500.00,Income,Direct Deposit,Employer Inc.,4119.18
2024-01-25,Car Payment,Debit,-300.00,Transportation,ACH Transfer,Auto Finance Co.,3819.18
2024-01-25,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,3814.43
2024-01-26,Grocery Shopping,Debit,-142.50,Groceries,Debit Card,Whole Foods,3671.93
2024-01-26,Lunch,Debit,-14.00,Dining Out,Debit Card,Taco Bell,3657.93
2024-01-26,Clothing Purchase,Debit,-90.00,Shopping,Credit Card,Macy's,3567.93
2024-01-27,Gasoline,Debit,-37.80,Transportation,Debit Card,Shell Gas Station,3530.13
2024-01-27,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,3525.38
2024-01-27,Dinner,Debit,-62.50,Dining Out,Credit Card,Chili's,3462.88
2024-01-28,Online Shopping,Debit,-80.00,Shopping,Credit Card,Amazon,3382.88
2024-01-28,Lunch,Debit,-15.00,Dining Out,Debit Card,Panera Bread,3367.88
2024-01-28,Movie Tickets,Debit,-22.00,Entertainment,Debit Card,AMC Theaters,3345.88
2024-01-29,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,3341.13
2024-01-29,Pharmacy Purchase,Debit,-29.50,Medical,Debit Card,Walgreens,3311.63
2024-01-29,Lunch,Debit,-13.25,Dining Out,Debit Card,Subway,3298.38
2024-01-30,Gym Membership,Debit,-45.00,Health,Online Payment,Planet Fitness,3253.38
2024-01-30,Gasoline,Debit,-38.40,Transportation,Debit Card,BP Gas Station,3214.98
2024-01-30,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,3210.23
2024-01-31,Grocery Shopping,Debit,-138.90,Groceries,Debit Card,Walmart,3071.33
2024-01-31,Lunch,Debit,-15.75,Dining Out,Debit Card,Five Guys,3055.58
2024-01-31,Book Purchase,Debit,-21.00,Education,Credit Card,Amazon,3034.58
2024-01-31,Streaming Service,Debit,-9.99,Entertainment,Online Payment,Netflix,3024.59
2024-01-31,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,3019.84
2024-02-01,Rent Payment,Debit,-1500.00,Rent,ACH Transfer,Sunset Apartments,1519.84
2024-02-01,Grocery Shopping,Debit,-130.20,Groceries,Debit Card,Whole Foods,1389.64
2024-02-01,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,1384.89
2024-02-02,Online Subscription,Debit,-12.99,Entertainment,Online Payment,Netflix,1371.90
2024-02-02,Electric Bill,Debit,-90.00,Utilities,ACH Transfer,Electric Company,1281.90
2024-02-02,Lunch,Debit,-15.50,Dining Out,Debit Card,Subway,1266.40
2024-02-03,Gasoline,Debit,-38.00,Transportation,Debit Card,Shell Gas Station,1228.40
2024-02-03,Grocery Shopping,Debit,-95.80,Groceries,Debit Card,Trader Joe's,1132.60
2024-02-03,Book Purchase,Debit,-25.00,Education,Credit Card,Amazon,1107.60
2024-02-04,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,1102.85
2024-02-04,Streaming Service,Debit,-9.99,Entertainment,Online Payment,Spotify,1092.86
2024-02-04,Lunch,Debit,-13.75,Dining Out,Debit Card,Panera Bread,1079.11
2024-02-05,Gym Membership,Debit,-45.00,Health,Online Payment,Planet Fitness,1034.11
2024-02-05,Dinner,Debit,-60.00,Dining Out,Credit Card,Olive Garden,974.11
2024-02-05,Movie Tickets,Debit,-28.00,Entertainment,Debit Card,AMC Theaters,946.11
2024-02-06,Medical Co-pay,Debit,-35.00,Medical,Debit Card,City Clinic,911.11
2024-02-06,Pet Supplies,Debit,-45.00,Pets,Credit Card,PetSmart,866.11
2024-02-06,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,861.36
2024-02-07,Grocery Shopping,Debit,-120.50,Groceries,Debit Card,Walmart,740.86
2024-02-07,Gasoline,Debit,-39.20,Transportation,Debit Card,Exxon,701.66
2024-02-07,Lunch,Debit,-14.25,Dining Out,Debit Card,Chick-fil-A,687.41
2024-02-08,Phone Bill,Debit,-65.00,Utilities,ACH Transfer,Verizon,622.41
2024-02-08,Clothing Purchase,Debit,-95.00,Shopping,Credit Card,H&M,527.41
2024-02-08,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,522.66
2024-02-09,Online Course,Debit,-199.99,Education,Credit Card,Udemy,322.67
2024-02-09,Lunch,Debit,-15.00,Dining Out,Debit Card,Jimmy John's,307.67
2024-02-09,Streaming Service,Debit,-14.99,Entertainment,Online Payment,Hulu,292.68
2024-02-10,Salary Payment,Credit,2500.00,Income,Direct Deposit,Employer Inc.,2792.68
2024-02-10,Car Insurance,Debit,-150.00,Insurance,ACH Transfer,Geico,2642.68
2024-02-10,Gasoline,Debit,-38.60,Transportation,Debit Card,BP Gas Station,2604.08
2024-02-11,Grocery Shopping,Debit,-125.90,Groceries,Debit Card,Kroger,2478.18
2024-02-11,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,2473.43
2024-02-11,Dinner,Debit,-65.00,Dining Out,Credit Card,Red Lobster,2408.43
2024-02-12,Pet Grooming,Debit,-55.00,Pets,Debit Card,Petco,2353.43
2024-02-12,Lunch,Debit,-16.00,Dining Out,Debit Card,Panera Bread,2337.43
2024-02-12,Gasoline,Debit,-37.00,Transportation,Debit Card,Shell Gas Station,2300.43
2024-02-13,Online Shopping,Debit,-85.00,Shopping,Credit Card,Amazon,2215.43
2024-02-13,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,2210.68
2024-02-13,Book Purchase,Debit,-19.00,Education,Credit Card,Barnes & Noble,2191.68
2024-02-14,Electric Bill,Debit,-90.00,Utilities,ACH Transfer,Electric Company,2101.68
2024-02-14,Lunch,Debit,-15.75,Dining Out,Debit Card,Chipotle,2085.93
2024-02-14,Valentine's Day Gift,Debit,-100.00,Gifts,Credit Card,Florist,1985.93
2024-02-15,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,1981.18
2024-02-15,Grocery Shopping,Debit,-130.00,Groceries,Debit Card,Aldi,1851.18
2024-02-15,Gasoline,Debit,-38.50,Transportation,Debit Card,Exxon,1812.68
2024-02-16,Dinner,Debit,-70.00,Dining Out,Credit Card,Cheesecake Factory,1742.68
2024-02-16,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,1737.93
2024-02-16,Pharmacy Purchase,Debit,-30.00,Medical,Debit Card,CVS Pharmacy,1707.93
2024-02-17,Gym Membership,Debit,-45.00,Health,Online Payment,Planet Fitness,1662.93
2024-02-17,Lunch,Debit,-15.00,Dining Out,Debit Card,Subway,1647.93
2024-02-17,Streaming Service,Debit,-9.99,Entertainment,Online Payment,Disney+,1637.94
2024-02-18,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,1633.19
2024-02-18,Gasoline,Debit,-37.50,Transportation,Debit Card,Shell Gas Station,1595.69
2024-02-18,Book Purchase,Debit,-22.00,Education,Credit Card,Amazon,1573.69
2024-02-19,Water Bill,Debit,-50.00,Utilities,ACH Transfer,Water Company,1523.69
2024-02-19,Lunch,Debit,-14.50,Dining Out,Debit Card,Panera Bread,1509.19
2024-02-19,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,1504.44
2024-02-20,Online Subscription,Debit,-12.99,Entertainment,Online Payment,Apple Music,1491.45
2024-02-20,Grocery Shopping,Debit,-130.80,Groceries,Debit Card,Trader Joe's,1360.65
2024-02-20,Dinner,Debit,-65.00,Dining Out,Credit Card,Applebee's,1295.65
2024-02-21,Gasoline,Debit,-38.20,Transportation,Debit Card,BP Gas Station,1257.45
2024-02-21,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,1252.70
2024-02-21,Movie Tickets,Debit,-28.00,Entertainment,Debit Card,Regal Cinemas,1224.70
2024-02-22,Lunch,Debit,-15.25,Dining Out,Debit Card,Five Guys,1209.45
2024-02-22,Clothing Purchase,Debit,-90.00,Shopping,Credit Card,Zara,1119.45
2024-02-22,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,1114.70
2024-02-23,Pet Supplies,Debit,-44.00,Pets,Credit Card,PetSmart,1070.70
2024-02-23,Lunch,Debit,-15.00,Dining Out,Debit Card,Jimmy John's,1055.70
2024-02-23,Streaming Service,Debit,-8.99,Entertainment,Online Payment,Peacock,1046.71
2024-02-24,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,1041.96
2024-02-24,Gasoline,Debit,-37.90,Transportation,Debit Card,Exxon,1004.06
2024-02-24,Lunch,Debit,-16.00,Dining Out,Debit Card,Chipotle,988.06
2024-02-25,Salary Payment,Credit,2500.00,Income,Direct Deposit,Employer Inc.,3488.06
2024-02-25,Car Payment,Debit,-300.00,Transportation,ACH Transfer,Auto Finance Co.,3188.06
2024-02-25,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,3183.31
2024-02-26,Grocery Shopping,Debit,-140.00,Groceries,Debit Card,Whole Foods,3043.31
2024-02-26,Lunch,Debit,-15.00,Dining Out,Debit Card,Taco Bell,3028.31
2024-02-26,Clothing Purchase,Debit,-95.00,Shopping,Credit Card,Macy's,2933.31
2024-02-27,Gasoline,Debit,-38.40,Transportation,Debit Card,Shell Gas Station,2894.91
2024-02-27,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,2890.16
2024-02-27,Dinner,Debit,-65.00,Dining Out,Credit Card,Chili's,2825.16
2024-02-28,Online Shopping,Debit,-85.00,Shopping,Credit Card,Amazon,2740.16
2024-02-28,Lunch,Debit,-15.50,Dining Out,Debit Card,Panera Bread,2724.66
2024-02-28,Movie Tickets,Debit,-24.00,Entertainment,Debit Card,AMC Theaters,2700.66
2024-02-29,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,2695.91
2024-02-29,Pharmacy Purchase,Debit,-32.00,Medical,Debit Card,Walgreens,2663.91
2024-02-29,Lunch,Debit,-14.75,Dining Out,Debit Card,Subway,2649.16
2024-02-29,Gym Membership,Debit,-45.00,Health,Online Payment,Planet Fitness,2604.16
2024-02-29,Gasoline,Debit,-39.10,Transportation,Debit Card,BP Gas Station,2565.06
2024-02-29,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,2560.31
2024-02-29,Grocery Shopping,Debit,-135.00,Groceries,Debit Card,Walmart,2425.31
2024-02-29,Lunch,Debit,-15.75,Dining Out,Debit Card,Five Guys,2409.56
2024-02-29,Book Purchase,Debit,-22.50,Education,Credit Card,Amazon,2387.06
2024-02-29,Streaming Service,Debit,-9.99,Entertainment,Online Payment,Netflix,2377.07
2024-02-29,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,2372.32
2024-03-01,Rent Payment,Debit,-1500.00,Rent,ACH Transfer,Sunset Apartments,872.32
2024-03-01,Grocery Shopping,Debit,-125.60,Groceries,Debit Card,Whole Foods,746.72
2024-03-01,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,741.97
2024-03-02,Online Subscription,Debit,-12.99,Entertainment,Online Payment,Netflix,728.98
2024-03-02,Electric Bill,Debit,-85.00,Utilities,ACH Transfer,Electric Company,643.98
2024-03-02,Lunch,Debit,-14.50,Dining Out,Debit Card,Subway,629.48
2024-03-03,Gasoline,Debit,-39.00,Transportation,Debit Card,Shell Gas Station,590.48
2024-03-03,Grocery Shopping,Debit,-90.30,Groceries,Debit Card,Trader Joe's,500.18
2024-03-03,Book Purchase,Debit,-23.50,Education,Credit Card,Amazon,476.68
2024-03-04,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,471.93
2024-03-04,Streaming Service,Debit,-9.99,Entertainment,Online Payment,Spotify,461.94
2024-03-04,Lunch,Debit,-13.50,Dining Out,Debit Card,Panera Bread,448.44
2024-03-05,Gym Membership,Debit,-45.00,Health,Online Payment,Planet Fitness,403.44
2024-03-05,Dinner,Debit,-60.00,Dining Out,Credit Card,Olive Garden,343.44
2024-03-05,Movie Tickets,Debit,-26.00,Entertainment,Debit Card,AMC Theaters,317.44
2024-03-06,Medical Co-pay,Debit,-30.00,Medical,Debit Card,City Clinic,287.44
2024-03-06,Pet Supplies,Debit,-40.00,Pets,Credit Card,PetSmart,247.44
2024-03-06,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,242.69
2024-03-07,Grocery Shopping,Debit,-115.00,Groceries,Debit Card,Walmart,127.69
2024-03-07,Gasoline,Debit,-38.50,Transportation,Debit Card,Exxon,89.19
2024-03-07,Lunch,Debit,-14.25,Dining Out,Debit Card,Chick-fil-A,74.94
2024-03-08,Transfer from Savings,Credit,500.00,Transfer,Account Transfer,Bank,574.94
2024-03-08,Phone Bill,Debit,-65.00,Utilities,ACH Transfer,Verizon,509.94
2024-03-08,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,505.19
2024-03-09,Online Course,Debit,-199.99,Education,Credit Card,Udemy,305.20
2024-03-09,Lunch,Debit,-15.00,Dining Out,Debit Card,Jimmy John's,290.20
2024-03-09,Streaming Service,Debit,-14.99,Entertainment,Online Payment,Hulu,275.21
2024-03-10,Salary Payment,Credit,2500.00,Income,Direct Deposit,Employer Inc.,2775.21
2024-03-10,Car Insurance,Debit,-150.00,Insurance,ACH Transfer,Geico,2625.21
2024-03-10,Gasoline,Debit,-39.20,Transportation,Debit Card,BP Gas Station,2586.01
2024-03-11,Grocery Shopping,Debit,-125.90,Groceries,Debit Card,Kroger,2460.11
2024-03-11,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,2455.36
2024-03-11,Dinner,Debit,-65.00,Dining Out,Credit Card,Red Lobster,2390.36
2024-03-12,Pet Grooming,Debit,-55.00,Pets,Debit Card,Petco,2335.36
2024-03-12,Lunch,Debit,-16.00,Dining Out,Debit Card,Panera Bread,2319.36
2024-03-12,Gasoline,Debit,-37.00,Transportation,Debit Card,Shell Gas Station,2282.36
2024-03-13,Online Shopping,Debit,-85.00,Shopping,Credit Card,Amazon,2197.36
2024-03-13,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,2192.61
2024-03-13,Book Purchase,Debit,-19.00,Education,Credit Card,Barnes & Noble,2173.61
2024-03-14,Electric Bill,Debit,-90.00,Utilities,ACH Transfer,Electric Company,2083.61
2024-03-14,Lunch,Debit,-15.75,Dining Out,Debit Card,Chipotle,2067.86
2024-03-14,Movie Rental,Debit,-5.99,Entertainment,Online Payment,Amazon Prime Video,2061.87
2024-03-15,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,2057.12
2024-03-15,Grocery Shopping,Debit,-130.00,Groceries,Debit Card,Aldi,1927.12
2024-03-15,Gasoline,Debit,-38.50,Transportation,Debit Card,Exxon,1888.62
2024-03-16,Dinner,Debit,-70.00,Dining Out,Credit Card,Cheesecake Factory,1818.62
2024-03-16,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,1813.87
2024-03-16,Pharmacy Purchase,Debit,-30.00,Medical,Debit Card,CVS Pharmacy,1783.87
2024-03-17,Gym Membership,Debit,-45.00,Health,Online Payment,Planet Fitness,1738.87
2024-03-17,Lunch,Debit,-15.00,Dining Out,Debit Card,Subway,1723.87
2024-03-17,Streaming Service,Debit,-9.99,Entertainment,Online Payment,Disney+,1713.88
2024-03-18,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,1709.13
2024-03-18,Gasoline,Debit,-37.50,Transportation,Debit Card,Shell Gas Station,1671.63
2024-03-18,Book Purchase,Debit,-22.00,Education,Credit Card,Amazon,1649.63
2024-03-19,Water Bill,Debit,-50.00,Utilities,ACH Transfer,Water Company,1599.63
2024-03-19,Lunch,Debit,-14.50,Dining Out,Debit Card,Panera Bread,1585.13
2024-03-19,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,1580.38
2024-03-20,Online Subscription,Debit,-12.99,Entertainment,Online Payment,Apple Music,1567.39
2024-03-20,Grocery Shopping,Debit,-130.80,Groceries,Debit Card,Trader Joe's,1436.59
2024-03-20,Dinner,Debit,-65.00,Dining Out,Credit Card,Applebee's,1371.59
2024-03-21,Gasoline,Debit,-38.20,Transportation,Debit Card,BP Gas Station,1333.39
2024-03-21,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,1328.64
2024-03-21,Movie Tickets,Debit,-28.00,Entertainment,Debit Card,Regal Cinemas,1300.64
2024-03-22,Lunch,Debit,-15.25,Dining Out,Debit Card,Five Guys,1285.39
2024-03-22,Clothing Purchase,Debit,-90.00,Shopping,Credit Card,Zara,1195.39
2024-03-22,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,1190.64
2024-03-23,Pet Supplies,Debit,-44.00,Pets,Credit Card,PetSmart,1146.64
2024-03-23,Lunch,Debit,-15.00,Dining Out,Debit Card,Jimmy John's,1131.64
